,datetime,mkt_value,margin,pnl,cash,net_asset,net_value
101,2007-05-29,9870814.38,4935407.19,133857.76000000094,5069278.349999999,10004685.54,1.000468554
102,2007-05-30,10004671.92,5002335.96,73486.26000000001,5075835.839999999,10078171.799999999,1.00781718
103,2007-05-31,10078169.44,5039084.72,52941.759999999194,5092028.839999999,10131113.559999999,1.0131113559999998
104,2007-06-01,10131110.729999999,5065555.364999999,-21202.320000000298,5044355.874999999,10109911.239999998,1.0109911239999998
105,2007-06-04,10109891.100000001,5054945.550000001,-35076.56999999995,5019889.119999997,10074834.669999998,1.007483467
106,2007-06-05,10074825.91,5037412.955,-41063.3600000001,4996358.354999999,10033771.309999999,1.003377131
107,2007-06-06,10033765.56,5016882.78,-234648.38000000012,4782240.149999998,9799122.929999998,0.9799122929999998
108,2007-06-07,9799106.01,4899553.005,-379667.67999999924,4519902.244999998,9419455.249999998,0.9419455249999998
109,2007-06-08,9419431.92,4709715.96,98236.79000000004,4807976.079999999,9517692.04,0.9517692039999999
110,2007-06-11,9517681.74,4758840.87,172210.8900000006,4931062.06,9689902.93,0.968990293
111,2007-06-12,9689885.75,4844942.875,-208351.36000000034,4636608.695,9481551.57,0.9481551570000001
112,2007-06-13,9481529.3,4740764.65,158757.16000000015,4899544.08,9640308.73,0.964030873
113,2007-06-14,9640294.2,4820147.1,161353.0499999998,4981514.680000002,9801661.780000001,0.9801661780000002
114,2007-06-15,9801646.14,4900823.07,127858.33000000007,5028697.040000001,9929520.110000001,0.9929520110000001
115,2007-06-18,9929506.9,4964753.45,-26558.83999999985,4938207.820000001,9902961.270000001,0.9902961270000001
116,2007-06-19,9902944.879999999,4951472.4399999995,210352.32000000123,5161841.150000004,10113313.590000004,1.0113313590000004
117,2007-06-20,10113294.07,5056647.035,-474897.52,4581769.035000004,9638416.070000004,0.9638416070000004
118,2007-06-21,9638411.68,4819205.84,-120376.14000000013,4698834.090000004,9518039.930000003,0.9518039930000003
119,2007-06-22,9518021.97,4759010.985,-320396.9599999995,4438631.985000004,9197642.970000004,0.9197642970000004
120,2007-06-25,9197635.71,4598817.855,-141699.30000000075,4457125.815000003,9055943.670000004,0.9055943670000004
121,2007-06-26,9055916.96,4527958.48,-293891.9600000002,4234093.230000002,8762051.710000003,0.8762051710000003
122,2007-06-27,8762037.38,4381018.69,469833.10000000056,4850866.120000002,9231884.810000002,0.9231884810000003
123,2007-06-28,9231859.78,4615929.89,-67484.11999999965,4548470.800000004,9164400.690000003,0.9164400690000003
124,2007-06-29,9164400.64,4582200.32,-195714.2400000014,4386486.130000001,8968686.450000001,0.8968686450000001
125,2007-07-02,8968663.3,4484331.65,147447.04000000097,4631801.840000002,9116133.490000002,0.9116133490000002
126,2007-07-03,9116115.21,4558057.605,97197.43000000133,4655273.315000003,9213330.920000004,0.9213330920000004
127,2007-07-05,9213306.620000001,4606653.3100000005,-171057.6500000005,4435619.960000003,9042273.270000003,0.9042273270000003
128,2007-07-06,9042250.44,4521125.22,166678.70999999973,4687826.760000003,9208951.980000002,0.9208951980000002
129,2007-07-09,9208934.24,4604467.12,-7630.559999999823,4596854.300000002,9201321.420000002,0.9201321420000002
130,2007-07-10,9201311.879999999,4600655.9399999995,-556260.3199999998,4044405.160000002,8645061.100000001,0.8645061100000001
131,2007-07-11,8645039.78,4322519.89,22793.21999999974,4345334.430000001,8667854.32,0.866785432
132,2007-07-12,8667834.65,4333917.325,127842.91999999946,4461779.915,8795697.24,0.879569724
133,2007-07-13,8795672.9,4397836.45,-68296.31000000006,4329564.4799999995,8727400.93,0.872740093
134,2007-07-16,8727391.399999999,4363695.699999999,-92599.49999999953,4271105.73,8634801.43,0.863480143
135,2007-07-17,8634786.120000001,4317393.0600000005,-80377.63000000082,4237030.739999998,8554423.799999999,0.8554423799999998
136,2007-07-18,8554390.51,4277195.255,-249347.17000000086,4027881.374999998,8305076.629999998,0.8305076629999998
137,2007-07-19,8305067.879999999,4152533.9399999995,56938.570000000764,4209481.26,8362015.199999999,0.8362015199999999
138,2007-07-20,8362006.92,4181003.46,-217906.9200000004,3963104.8199999994,8144108.279999999,0.814410828
