,datetime,mkt_value,margin,pnl,cash,net_asset,net_value
97,2007-05-22,14240211.64,7120105.82,19070.30999999959,2689125.490000006,9809231.310000006,0.9809231310000006
98,2007-05-23,15159711.370000001,7579855.6850000005,-19249.920000000857,2210125.705000004,9789981.390000004,0.9789981390000004
99,2007-05-24,16019946.330000002,8009973.165000001,-24241.439999999013,1755766.7850000039,9765739.950000005,0.9765739950000005
100,2007-05-25,16868075.27,8434037.635,-36581.78000000073,1295120.5350000039,9729158.170000004,0.9729158170000004
101,2007-05-29,17689345.95,8844672.975,62956.250000001164,947441.4450000059,9792114.420000006,0.9792114420000005
102,2007-05-30,18694014.54,9347007.27,6747.010000001639,451854.1600000076,9798861.430000007,0.9798861430000008
103,2007-05-31,19597709.14,9798854.57,62137.87999999919,62144.74000000581,9860999.310000006,0.9860999310000006
104,2007-06-01,18782840.84,9391420.42,6194.730000000447,475773.62000000663,9867194.040000007,0.9867194040000007
105,2007-06-04,17854895.22,8927447.61,-5676.56999999925,934069.8600000087,9861517.470000008,0.9861517470000009
106,2007-06-05,16905447.29,8452723.645,47456.639999999665,1456250.4650000073,9908974.110000007,0.9908974110000007
107,2007-06-06,16043075.13,8021537.565,-150940.6399999985,1736495.9050000077,9758033.470000008,0.9758033470000008
108,2007-06-07,14869372.120000001,7434686.0600000005,-13464.500000000233,2309882.9100000076,9744568.970000008,0.9744568970000008
109,2007-06-08,13920792.08,6960396.04,59831.51999999909,2844004.4500000076,9804400.490000008,0.9804400490000008
110,2007-06-11,13072520.57,6536260.285,-1758.6299999994226,3266381.5750000086,9802641.860000009,0.9802641860000009
111,2007-06-12,12136580.4,6068290.2,-96355.95000000112,3637995.7100000074,9706285.910000008,0.9706285910000008
112,2007-06-13,11092877.559999999,5546438.779999999,42629.76000000024,4202476.890000008,9748915.670000007,0.9748915670000008
113,2007-06-14,10213117.91,5106558.955,56650.67999999947,4699007.395000007,9805566.350000007,0.9805566350000007
114,2007-06-15,10272481.200000001,5136240.600000001,19090.470000000845,4688416.220000007,9824656.820000008,0.9824656820000007
115,2007-06-18,11228163.5,5614081.75,6990.059999999474,4217565.130000006,9831646.880000006,0.9831646880000007
116,2007-06-19,12172491.71,6086245.855,61243.37999999919,3806644.405000005,9892890.260000005,0.9892890260000006
117,2007-06-20,13190513.09,6595256.545,-122505.91999999946,3175127.7950000055,9770384.340000005,0.9770384340000006
118,2007-06-21,13957677.940000001,6978838.970000001,18584.019999999553,2810129.3900000043,9788968.360000005,0.9788968360000005
119,2007-06-22,14916499.25,7458249.625,-98154.83999999985,2232563.895000005,9690813.520000005,0.9690813520000006
120,2007-06-25,15689860.620000001,7844930.3100000005,16857.710000000894,1862740.9200000055,9707671.230000006,0.9707671230000006
121,2007-06-26,16641692.200000001,8320846.100000001,-40050.50000000163,1346774.6300000036,9667620.730000004,0.9667620730000004
122,2007-06-27,17493778.32,8746889.16,56705.040000001434,977436.610000005,9724325.770000005,0.9724325770000005
