,datetime,mkt_value,margin,pnl,cash,net_asset,net_value
0,2007-01-02,0.0,0.0,0.0,10000000.0,10000000.0,1.0
1,2007-01-03,0.0,0.0,0.0,10000000.0,10000000.0,1.0
2,2007-01-04,9999973.94,4999986.97,0.0,5000013.03,10000000.0,1.0
3,2007-01-05,9999986.36,4999993.18,114094.80000000144,5114101.620000001,10114094.8,1.01140948
4,2007-01-08,10114083.1,5057041.55,56248.55000000005,5113301.800000002,10170343.350000001,1.0170343350000002
5,2007-01-09,10170335.6,5085167.8,-26221.379999998724,5058954.170000003,10144121.970000003,1.0144121970000002
6,2007-01-10,10144113.620000001,5072056.8100000005,3908.600000000093,5075973.760000002,10148030.570000002,1.0148030570000002
7,2007-01-11,10148016.36,5074008.18,-298748.1000000001,4775274.290000003,9849282.470000003,0.9849282470000003
8,2007-01-12,9849278.18,4924639.09,-178272.99999999907,4746370.380000003,9671009.470000003,0.9671009470000003
9,2007-01-16,9671002.379999999,4835501.1899999995,-192329.23000000045,4643179.050000003,9478680.240000002,0.9478680240000003
10,2007-01-17,9478667.07,4739333.535,-4120.0999999996275,4735226.605000002,9474560.140000002,0.9474560140000002
11,2007-01-18,9474544.5,4737272.25,-34925.09999999963,4702362.790000003,9439635.040000003,0.9439635040000003
12,2007-01-19,9439621.56,4719810.78,-97689.83999999985,4622134.420000003,9341945.200000003,0.9341945200000003
13,2007-01-22,9341939.01,4670969.505,42301.23999999929,4713276.935000001,9384246.440000001,0.9384246440000001
14,2007-01-23,9384236.3,4692118.15,-85254.11999999965,4606874.170000002,9298992.320000002,0.9298992320000002
15,2007-01-24,9298976.85,4649488.425,-40305.029999999795,4609198.865000003,9258687.290000003,0.9258687290000003
16,2007-01-25,9258674.44,4629337.22,139452.92999999924,4768803.000000003,9398140.220000003,0.9398140220000003
17,2007-01-26,9398121.120000001,4699060.5600000005,11014.040000000969,4710093.700000003,9409154.260000004,0.9409154260000003
18,2007-01-29,9409134.91,4704567.455,-8551.860000000801,4696034.945000002,9400602.400000002,0.9400602400000002
19,2007-01-30,9400581.0,4700290.5,-75447.47000000079,4624864.430000002,9325154.930000002,0.9325154930000001
20,2007-01-31,9325150.2,4662575.1,-131195.7300000001,4531384.1000000015,9193959.200000001,0.9193959200000001
21,2007-02-01,9193942.56,4596971.28,-63725.39999999851,4533262.520000002,9130233.800000003,0.9130233800000003
22,2007-02-02,9130229.86,4565114.93,709.5,4565828.370000003,9130943.300000003,0.9130943300000003
23,2007-02-05,9130919.73,4565459.865,-15218.739999999758,4550264.695000002,9115724.560000002,0.9115724560000003
24,2007-02-06,9115710.11,4557855.055,-153812.76000000094,4404056.745000001,8961911.8,0.8961911800000001
25,2007-02-07,8961900.440000001,4480950.220000001,1423.6599999999162,4482385.24,8963335.46,0.896333546
26,2007-02-08,8963317.850000001,4481658.925000001,10489.5,4492166.035,8973824.96,0.8973824960000001
27,2007-02-09,8973802.530000001,4486901.265000001,202211.55999999912,4689135.254999999,9176036.52,0.9176036519999999
28,2007-02-12,9176020.940000001,4588010.470000001,145206.74999999953,4733232.799999999,9321243.27,0.9321243269999999
29,2007-02-13,9321229.18,4660614.59,-168426.5,4492202.18,9152816.77,0.915281677
30,2007-02-14,9152799.9,4576399.95,-188175.71999999974,4388241.100000001,8964641.05,0.8964641050000001
31,2007-02-15,8964620.86,4482310.43,-107144.06000000052,4375186.5600000005,8857496.99,0.885749699
32,2007-02-16,8857485.71,4428742.855,-16732.080000000075,4412022.055,8840764.91,0.884076491
33,2007-02-20,8840749.12,4420374.56,-141169.08999999985,4279221.260000001,8699595.82,0.869959582
34,2007-02-21,8699580.92,4349790.46,-47999.84000000032,4301805.5200000005,8651595.98,0.8651595980000001
35,2007-02-22,8651583.870000001,4325791.9350000005,-28880.060000000056,4296923.984999999,8622715.92,0.862271592
36,2007-02-23,8622696.450000001,4311348.225000001,140234.89999999967,4451602.595,8762950.82,0.8762950820000001
37,2007-02-26,8762927.58,4381463.79,-27344.19000000134,4354142.839999999,8735606.629999999,0.8735606629999999
38,2007-02-27,8735593.16,4367796.58,868090.53,5235900.579999998,9603697.159999998,0.9603697159999999
39,2007-02-28,9603696.92,4801848.46,-339739.21999999956,4462109.4799999995,9263957.94,0.9263957939999999
40,2007-03-01,9263943.57,4631971.785,110705.43999999948,4742691.594999999,9374663.379999999,0.9374663379999999
41,2007-03-02,9374657.17,4687328.585,423635.44999999925,5110970.244999998,9798298.829999998,0.9798298829999998
42,2007-03-05,9798288.37,4899144.185,146207.52000000014,5045362.164999998,9944506.349999998,0.9944506349999997
43,2007-03-06,9944487.81,4972243.905,-513798.06999999983,4458464.374999997,9430708.279999997,0.9430708279999998
44,2007-03-07,9430705.27,4715352.635,-67474.26000000094,4647881.384999996,9363234.019999996,0.9363234019999996
45,2007-03-08,9363221.45,4681610.725,-156624.51000000024,4524998.784999996,9206609.509999996,0.9206609509999996
46,2007-03-09,9206602.879999999,4603301.4399999995,42749.34999999963,4646057.419999996,9249358.859999996,0.9249358859999995
47,2007-03-12,9249343.09,4624671.545,-47085.27000000002,4577602.044999996,9202273.589999996,0.9202273589999996
48,2007-03-13,9202264.38,4601132.19,442924.72000000067,5044066.119999996,9645198.309999997,0.9645198309999997
49,2007-03-14,9645182.36,4822591.18,149856.38999999966,4972463.519999996,9795054.699999996,0.9795054699999995
50,2007-03-15,9795030.66,4897515.33,24849.580000000075,4922388.9499999955,9819904.279999996,0.9819904279999996
51,2007-03-16,9819885.57,4909942.785,236273.34999999963,5146234.844999995,10056177.629999995,1.0056177629999996
52,2007-03-19,10056164.64,5028082.32,-255752.31000000052,4772342.999999994,9800425.319999995,0.9800425319999995
53,2007-03-20,9800405.8,4900202.9,12551.160000000149,4912773.5799999945,9812976.479999995,0.9812976479999995
54,2007-03-21,9812956.59,4906478.295,-652630.48,4253867.7049999945,9160345.999999994,0.9160345999999995
55,2007-03-22,9160332.55,4580166.275,46928.87999999942,4627108.604999993,9207274.879999993,0.9207274879999994
56,2007-03-23,9207252.75,4603626.375,36933.79999999935,4640582.304999992,9244208.679999992,0.9244208679999992
57,2007-03-26,9244182.5,4622091.25,-17199.07999999961,4604918.349999992,9227009.599999992,0.9227009599999992
58,2007-03-27,9226986.39,4613493.195,89860.64000000036,4703377.0449999925,9316870.239999993,0.9316870239999993
59,2007-03-28,9316846.34,4658423.17,287667.1199999999,4946114.189999992,9604537.359999992,0.9604537359999992
60,2007-03-29,9604512.28,4802256.14,50651.38000000105,4852932.599999993,9655188.739999993,0.9655188739999992
61,2007-03-30,9655187.5,4827593.75,7862.2799999999115,4835457.269999992,9663051.019999992,0.9663051019999992
62,2007-04-02,9663025.17,4831512.585,73246.25,4904784.684999992,9736297.269999992,0.9736297269999992
63,2007-04-03,9736272.34,4868136.17,-262060.5599999996,4606100.5399999935,9474236.709999993,0.9474236709999994
64,2007-04-04,9474221.860000001,4737110.930000001,127634.1799999997,4864759.9599999925,9601870.889999993,0.9601870889999993
65,2007-04-05,9601853.96,4800926.98,-71144.52000000025,4729799.389999993,9530726.369999994,0.9530726369999993
66,2007-04-09,9530721.610000001,4765360.805000001,-45629.860000000335,4719735.704999994,9485096.509999994,0.9485096509999994
67,2007-04-10,9485084.77,4742542.385,-48629.67000000132,4693924.454999993,9436466.839999992,0.9436466839999993
68,2007-04-11,9436451.04,4718225.52,224027.59000000078,4942268.909999993,9660494.429999992,0.9660494429999992
69,2007-04-12,9660479.65,4830239.825,-123441.52000000048,4706813.0849999925,9537052.909999993,0.9537052909999992
70,2007-04-13,9537035.21,4768517.605,-159466.18000000017,4609069.124999993,9377586.729999993,0.9377586729999993
71,2007-04-16,9377575.84,4688787.92,-448093.0,4240705.809999993,8929493.729999993,0.8929493729999993
72,2007-04-17,8929476.2,4464738.1,-27995.990000000224,4436759.639999993,8901497.739999993,0.8901497739999993
73,2007-04-18,8901485.06,4450742.53,54011.8899999992,4504767.099999991,8955509.629999992,0.8955509629999991
74,2007-04-19,8955502.05,4477751.025,145167.7000000002,4622926.30499999,9100677.32999999,0.9100677329999991
75,2007-04-20,9100659.940000001,4550329.970000001,-49546.779999999795,4500800.579999991,9051130.549999991,0.9051130549999992
76,2007-04-23,9051116.94,4525558.47,143565.84999999963,4669137.929999991,9194696.399999991,0.9194696399999991
77,2007-04-24,9194677.38,4597338.69,29281.140000000596,4626638.849999991,9223977.539999992,0.9223977539999991
78,2007-04-25,9223962.44,4611981.22,-161100.4500000002,4450895.869999993,9062877.089999992,0.9062877089999992
79,2007-04-26,9062861.56,4531430.78,115151.52000000025,4646597.829999992,9178028.609999992,0.9178028609999992
80,2007-04-27,9178020.18,4589010.09,-94004.8800000007,4495013.639999991,9084023.729999991,0.9084023729999992
81,2007-04-30,9084020.26,4542010.13,226445.55999999918,4768459.15999999,9310469.28999999,0.931046928999999
82,2007-05-01,9310460.65,4655230.325,-64471.40000000037,4590767.564999989,9245997.88999999,0.924599788999999
83,2007-05-02,9245978.96,4622989.48,-15104.600000000151,4607903.809999989,9230893.28999999,0.923089328999999
84,2007-05-03,9230877.46,4615438.73,87153.08000000019,4702607.639999989,9318046.36999999,0.9318046369999989
85,2007-05-04,9318022.42,4659011.21,-20431.950000000652,4638603.209999989,9297614.419999989,0.9297614419999989
86,2007-05-07,9297607.0,4648803.5,-93637.73999999953,4555173.1799999885,9203976.679999989,0.9203976679999989
87,2007-05-08,9203958.83,4601979.415,79776.71999999927,4681773.984999987,9283753.399999987,0.9283753399999988
88,2007-05-09,9283738.58,4641869.29,22577.899999999907,4664462.009999988,9306331.299999988,0.9306331299999988
89,2007-05-10,9306313.43,4653156.715,171449.78000000026,4824624.364999987,9477781.079999987,0.9477781079999987
90,2007-05-11,9477762.120000001,4738881.0600000005,-82708.05000000028,4656191.969999986,9395073.029999986,0.9395073029999986
91,2007-05-14,9395053.98,4697526.99,138785.75999999978,4836331.799999986,9533858.789999986,0.9533858789999986
92,2007-05-15,9533839.43,4766919.715,114634.25,4881573.324999986,9648493.039999986,0.9648493039999986
93,2007-05-16,9648472.74,4824236.37,-29464.91000000015,4794791.759999986,9619028.129999986,0.9619028129999986
94,2007-05-17,9619005.03,4809502.515,78277.29000000004,4887802.904999987,9697305.419999987,0.9697305419999986
95,2007-05-18,9697294.84,4848647.42,-105368.28000000026,4743289.719999986,9591937.139999986,0.9591937139999985
96,2007-05-21,9591914.190000001,4795957.095000001,-143861.40000000037,4652118.644999985,9448075.739999985,0.9448075739999985
97,2007-05-22,9448069.72,4724034.86,61965.43999999948,4786006.319999984,9510041.179999985,0.9510041179999985
